	NNTYPE	KOD1	POW1	KAT1	ODL1	KOD2	POW2	KAT2	KOD3	KOD4	KAT4	KOD5	WYJSCIE
reiz1_l33874	TEST	2	4	108	33	16	-1	-1	16	16	-1	16	l3
reiz1_l33875	TEST	2	15	112	37	16	-1	-1	16	16	-1	16	l3
reiz1_l33876	TEST	2	33	112	38	16	-1	-1	16	16	-1	16	l3
reiz1_l33877	TEST	2	2	142	33	2	32	112	16	16	-1	16	l3
reiz1_l33878	TEST	2	36	115	38	16	-1	-1	16	16	-1	16	l3
reiz1_l33879	TEST	2	32	116	38	1	1	159	16	16	-1	16	l3
reiz1_l33880	TEST	2	34	116	38	16	-1	-1	16	16	-1	16	l3
reiz1_l33881	TEST	2	1	149	37	2	21	118	16	16	-1	16	l3
reiz1_l33882	TEST	2	20	120	40	1	1	164	16	16	-1	16	l3
reiz1_l33883	TEST	2	24	123	41	1	1	166	16	16	-1	16	l3
reiz1_l33884	TEST	2	3	123	37	1	4	150	1	16	-1	16	l3
reiz1_l33885	TEST	2	17	126	41	1	3	153	1	16	-1	16	l3
reiz1_l33886	TEST	2	19	127	43	1	11	153	1	16	-1	16	l3
reiz1_l33887	TEST	2	22	128	43	1	15	155	1	16	-1	16	l3
reiz1_l33888	TEST	2	19	130	43	1	9	158	1	16	-1	16	l3
reiz1_l33889	TEST	2	7	132	43	1	32	157	1	16	-1	16	l3
reiz1_l33890	TEST	2	7	133	41	1	34	160	1	16	-1	16	l3
reiz1_l33891	TEST	2	7	135	45	1	38	162	1	16	-1	16	l3
reiz1_l33892	TEST	2	9	136	42	1	38	163	1	16	-1	16	l3
reiz1_l33893	TEST	1	34	189	38	1	57	166	1	16	-1	16	l3
reiz1_l33894	TEST	1	43	190	40	1	56	167	1	16	-1	16	l3
reiz1_l33895	TEST	1	29	193	40	1	52	169	1	16	-1	16	l3
reiz1_l33896	TEST	1	30	196	37	1	62	169	1	16	-1	16	l3
reiz1_l33897	TEST	1	32	197	38	1	66	171	1	16	-1	16	l3
reiz1_l33898	TEST	1	31	198	38	1	69	172	1	16	-1	16	l3
reiz1_l33899	TEST	1	48	199	37	1	62	171	1	16	-1	16	l3
reiz1_l33900	TEST	1	40	199	37	1	60	171	1	16	-1	16	l3
reiz1_l33901	TEST	1	48	199	39	1	70	173	1	16	-1	16	l3
reiz1_l33902	TEST	1	39	201	37	1	69	172	1	16	-1	16	l3
reiz1_l33903	TEST	1	38	199	36	1	75	172	1	16	-1	16	l3
reiz1_l33904	TEST	1	42	198	39	1	59	170	1	16	-1	16	l3
reiz1_l33905	TEST	1	39	198	39	1	56	170	1	16	-1	16	l3
reiz1_l33906	TEST	1	40	199	37	1	56	170	1	16	-1	16	l3
reiz1_l33907	TEST	1	51	199	36	1	67	170	1	16	-1	16	l3
reiz1_l33908	TEST	1	64	200	37	1	70	170	1	16	-1	16	l3
reiz1_l33909	TEST	1	40	198	39	1	55	171	1	16	-1	16	l3
reiz1_l33910	TEST	1	35	200	38	1	63	172	1	16	-1	16	l3
reiz1_l33911	TEST	1	46	199	36	1	73	171	1	16	-1	16	l3
reiz1_l33912	TEST	1	48	199	37	1	65	170	1	16	-1	16	l3
reiz1_l33913	TEST	1	35	198	39	1	72	171	1	16	-1	16	l3
reiz1_l33914	TEST	1	50	198	39	1	63	172	1	16	-1	16	l3
reiz1_l33915	TEST	1	42	198	38	1	69	170	1	16	-1	16	l3
reiz1_l33916	TEST	1	62	198	38	1	61	171	1	16	-1	16	l3
reiz1_l33917	TEST	1	52	199	37	1	71	171	1	16	-1	16	l3
reiz1_l33918	TEST	1	45	198	39	1	51	171	1	16	-1	16	l3
reiz1_l33919	TEST	1	61	199	36	1	53	170	1	16	-1	16	l3
reiz1_l33920	TEST	1	39	197	38	1	49	171	1	16	-1	16	l3
reiz1_l33921	TEST	3	9	4	43	1	60	170	1	1	198	16	l3
reiz1_l33922	TEST	1	42	199	37	1	48	171	1	16	-1	16	l3
reiz1_l33923	TEST	1	48	199	36	1	63	170	1	16	-1	16	l3
reiz1_l33924	TEST	1	34	199	37	1	61	170	1	16	-1	16	l3
reiz1_l33925	TEST	1	57	198	38	1	61	172	1	16	-1	16	l3
reiz1_l33926	TEST	1	45	197	37	1	73	170	1	16	-1	16	l3
reiz1_l33927	TEST	1	55	198	38	1	44	171	1	16	-1	16	l3
reiz1_l33928	TEST	1	34	197	36	1	63	171	1	16	-1	16	l3
reiz1_l33929	TEST	1	46	198	36	1	71	170	1	16	-1	16	l3
reiz1_l33930	TEST	1	47	198	36	1	64	170	1	16	-1	16	l3
reiz1_l33931	TEST	1	35	197	37	1	65	171	1	16	-1	16	l3
reiz1_l33932	TEST	3	1	6	41	1	64	169	1	1	197	16	l3
reiz1_l33933	TEST	1	34	197	36	1	70	171	1	16	-1	16	l3
reiz1_l33934	TEST	1	46	197	38	1	69	169	1	16	-1	16	l3
reiz1_l33935	TEST	1	43	197	38	1	70	169	1	16	-1	16	l3
reiz1_l33936	TEST	1	49	196	36	1	60	169	1	16	-1	16	l3
reiz1_l33937	TEST	1	48	195	38	1	68	169	1	16	-1	16	l3
reiz1_l33938	TEST	1	51	197	39	1	69	169	1	16	-1	16	l3
reiz1_l33939	TEST	1	41	198	35	1	67	169	1	16	-1	16	l3
reiz1_l33940	TEST	1	50	196	37	1	63	168	1	16	-1	16	l3
reiz1_l33941	TEST	1	38	195	39	1	72	168	1	16	-1	16	l3
reiz1_l33942	TEST	1	59	196	37	1	35	166	1	16	-1	16	l3
reiz1_l33943	TEST	1	48	194	38	1	52	168	1	16	-1	16	l3
reiz1_l33944	TEST	1	54	196	36	1	50	167	1	16	-1	16	l3
reiz1_l33945	TEST	1	51	194	38	1	68	167	1	16	-1	16	l3
reiz1_l33946	TEST	1	41	194	37	1	62	167	1	16	-1	16	l3
reiz1_l33947	TEST	1	54	192	38	1	52	165	1	16	-1	16	l3
reiz1_l33948	TEST	1	58	191	37	1	45	165	1	16	-1	16	l3
reiz1_l33949	TEST	2	26	136	42	1	53	164	1	16	-1	16	l3
reiz1_l33950	TEST	2	23	135	41	1	29	163	1	16	-1	16	l3
reiz1_l33951	TEST	1	51	189	39	1	47	164	1	16	-1	16	l3
reiz1_l33952	TEST	2	22	134	42	1	50	163	1	16	-1	16	l3
reiz1_l33953	TEST	2	25	134	42	1	47	162	1	16	-1	16	l3
reiz1_l33954	TEST	2	22	134	41	1	50	162	1	16	-1	16	l3
reiz1_l33955	TEST	2	21	133	42	1	38	161	1	16	-1	16	l3
reiz1_l33956	TEST	1	42	185	37	1	40	160	1	16	-1	16	l3
reiz1_l33957	TEST	2	23	133	43	1	29	158	1	16	-1	16	l3
reiz1_l33958	TEST	2	8	129	40	1	33	157	1	16	-1	16	l3
reiz1_l33959	TEST	2	14	130	42	1	30	158	1	16	-1	16	l3
reiz1_l33960	TEST	2	11	129	42	1	20	157	1	16	-1	16	l3
reiz1_l33961	TEST	2	18	130	45	1	19	157	1	16	-1	16	l3
reiz1_l33962	TEST	2	10	127	42	1	20	156	1	16	-1	16	l3
reiz1_l33963	TEST	2	16	126	41	1	24	155	1	16	-1	16	l3
reiz1_l33964	TEST	2	10	124	39	1	24	152	1	16	-1	16	l3
reiz1_l33965	TEST	2	22	123	42	1	21	152	1	16	-1	16	l3
reiz1_l33966	TEST	2	19	122	40	1	9	151	1	16	-1	16	l3
reiz1_l33967	TEST	2	28	122	41	1	8	151	1	16	-1	16	l3
reiz1_l33968	TEST	2	30	121	41	1	1	150	1	16	-1	16	l3
reiz1_l33969	TEST	2	36	120	39	1	4	149	1	16	-1	16	l3
reiz1_l33970	TEST	2	26	118	39	1	4	164	16	16	-1	16	l3
reiz1_l33971	TEST	2	4	150	35	2	19	118	16	16	-1	16	l3
reiz1_l33972	TEST	2	3	150	32	2	41	118	16	16	-1	16	l3
reiz1_l33973	TEST	2	4	148	32	2	24	115	16	16	-1	16	l3
reiz1_l33974	TEST	2	6	146	34	2	7	111	16	16	-1	16	l3
reiz1_l33975	TEST	2	13	113	39	16	-1	-1	16	16	-1	16	l3
reiz1_l33976	TEST	2	18	111	35	16	-1	-1	16	16	-1	16	l3
reiz1_l33977	TEST	2	3	142	29	2	3	105	16	16	-1	16	l3
reiz1_l33978	TEST	2	19	107	33	16	-1	-1	16	16	-1	16	l3
reiz1_l33979	TEST	2	4	143	31	2	18	107	16	16	-1	16	l3
reiz1_l33980	TEST	2	3	142	29	2	10	105	16	16	-1	16	l3
reiz1_l33981	TEST	2	1	143	34	2	23	109	16	16	-1	16	l3
reiz1_l33982	TEST	2	6	144	32	2	32	114	16	16	-1	16	l3
reiz1_l33983	TEST	2	1	147	33	2	33	115	16	16	-1	16	l3
reiz1_l33984	TEST	2	27	118	38	1	1	148	1	16	-1	16	l3
reiz1_l33985	TEST	2	35	119	39	1	2	148	1	16	-1	16	l3
reiz1_l33986	TEST	2	21	121	40	1	3	150	1	16	-1	16	l3
reiz1_l33987	TEST	1	6	169	43	1	4	151	16	16	-1	16	l3
reiz1_l33988	TEST	2	1	124	37	1	12	152	1	16	-1	16	l3
reiz1_l33989	TEST	2	19	127	43	1	11	155	1	16	-1	16	l3
reiz1_l33990	TEST	2	3	127	40	1	10	155	1	16	-1	16	l3
reiz1_l33991	TEST	2	21	132	43	1	33	158	1	16	-1	16	l3
reiz1_l33992	TEST	2	4	131	45	1	36	158	1	16	-1	16	l3
reiz1_l33993	TEST	2	16	132	43	1	43	159	1	16	-1	16	l3
reiz1_l33994	TEST	2	10	136	46	1	41	162	1	16	-1	16	l3
reiz1_l33995	TEST	2	14	136	44	1	47	163	1	16	-1	16	l3
reiz1_l33996	TEST	2	12	137	44	1	51	164	1	16	-1	16	l3
reiz1_l33997	TEST	1	57	190	38	1	40	165	1	16	-1	16	l3
reiz1_l33998	TEST	1	50	190	38	1	61	165	1	16	-1	16	l3
reiz1_l33999	TEST	1	55	194	37	1	54	167	1	16	-1	16	l3
reiz1_l34000	TEST	1	42	194	37	1	58	169	1	16	-1	16	l3
reiz1_l34001	TEST	1	25	194	38	1	56	169	1	16	-1	16	l3
reiz1_l34002	TEST	1	39	195	39	1	56	171	1	16	-1	16	l3
reiz1_l34003	TEST	1	48	197	37	1	69	170	1	16	-1	16	l3
reiz1_l34004	TEST	1	61	198	38	1	57	170	1	16	-1	16	l3
reiz1_l34005	TEST	1	36	197	39	1	67	170	1	16	-1	16	l3
reiz1_l34006	TEST	1	40	197	38	1	62	171	1	16	-1	16	l3
reiz1_l34007	TEST	1	70	197	37	1	69	170	1	16	-1	16	l3
reiz1_l34008	TEST	1	46	196	38	1	64	171	1	16	-1	16	l3
reiz1_l34009	TEST	1	48	197	37	1	73	170	1	16	-1	16	l3
reiz1_l34010	TEST	3	1	1	42	1	56	171	1	1	197	16	l3
reiz1_l34011	TEST	1	75	197	37	1	67	169	1	16	-1	16	l3
reiz1_l34012	TEST	1	36	196	37	1	75	170	1	16	-1	16	l3
reiz1_l34013	TEST	1	58	197	38	1	64	170	1	16	-1	16	l3
reiz1_l34014	TEST	1	42	197	37	1	64	170	1	16	-1	16	l3
reiz1_l34015	TEST	1	64	197	37	1	74	169	1	16	-1	16	l3
reiz1_l34016	TEST	1	50	197	38	1	55	169	1	16	-1	16	l3
reiz1_l34017	TEST	3	9	1	43	1	55	170	1	1	196	16	l3
reiz1_l34018	TEST	1	43	196	36	1	58	169	1	16	-1	16	l3
reiz1_l34019	TEST	1	58	197	37	1	71	171	1	16	-1	16	l3
reiz1_l34020	TEST	1	56	196	37	1	62	170	1	16	-1	16	l3
reiz1_l34021	TEST	1	15	198	33	1	74	170	1	16	-1	16	l3
reiz1_l34022	TEST	1	61	196	37	1	58	169	1	16	-1	16	l3
reiz1_l34023	TEST	1	68	197	38	1	54	171	1	16	-1	16	l3
reiz1_l34024	TEST	1	56	196	36	1	47	168	1	16	-1	16	l3
reiz1_l34025	TEST	1	55	197	38	1	62	169	1	16	-1	16	l3
reiz1_l34026	TEST	1	31	196	36	1	63	169	1	16	-1	16	l3
reiz1_l34027	TEST	1	60	196	37	1	68	169	1	16	-1	16	l3
reiz1_l34028	TEST	1	58	196	38	1	62	169	1	16	-1	16	l3
reiz1_l34029	TEST	1	69	196	37	1	53	169	1	16	-1	16	l3
reiz1_l34030	TEST	1	66	195	38	1	49	169	1	16	-1	16	l3
reiz1_l34031	TEST	1	71	197	37	1	78	170	1	16	-1	16	l3
reiz1_l34032	TEST	1	40	196	37	1	56	169	1	16	-1	16	l3
reiz1_l34033	TEST	3	1	3	43	1	73	169	1	1	197	16	l3
reiz1_l34034	TEST	1	58	196	37	1	70	169	1	16	-1	16	l3
reiz1_l34035	TEST	1	62	197	36	1	56	169	1	16	-1	16	l3
reiz1_l34036	TEST	1	51	196	36	1	74	169	1	16	-1	16	l3
reiz1_l34037	TEST	1	49	197	37	1	71	169	1	16	-1	16	l3
reiz1_l34038	TEST	3	5	3	43	1	57	168	1	1	196	16	l3
reiz1_l34039	TEST	1	53	196	38	1	65	168	1	16	-1	16	l3
reiz1_l34040	TEST	1	61	197	37	1	56	169	1	16	-1	16	l3
reiz1_l34041	TEST	1	55	196	37	1	63	169	1	16	-1	16	l3
reiz1_l34042	TEST	1	40	195	36	1	49	167	1	16	-1	16	l3
reiz1_l34043	TEST	1	58	196	38	1	53	168	1	16	-1	16	l3
reiz1_l34044	TEST	1	61	197	38	1	64	168	1	16	-1	16	l3
reiz1_l34045	TEST	1	67	196	37	1	61	166	1	16	-1	16	l3
reiz1_l34046	TEST	1	44	196	37	1	66	167	1	16	-1	16	l3
reiz1_l34047	TEST	1	40	195	38	1	70	168	1	16	-1	16	l3
reiz1_l34048	TEST	1	32	195	36	1	64	167	1	16	-1	16	l3
reiz1_l34049	TEST	3	1	3	43	1	30	166	1	1	194	16	l3
reiz1_l34050	TEST	1	41	194	37	1	58	167	1	16	-1	16	l3
reiz1_l44161	TEST	2	17	144	32	2	36	103	1	1	174	16	l4
reiz1_l44162	TEST	2	26	145	32	2	37	102	1	1	174	16	l4
reiz1_l44163	TEST	2	24	144	31	2	37	100	1	1	176	16	l4
reiz1_l44164	TEST	2	22	144	32	2	25	98	1	1	176	16	l4
reiz1_l44165	TEST	2	24	144	32	2	38	100	1	1	174	16	l4
reiz1_l44166	TEST	2	26	142	33	1	22	172	1	16	-1	16	l4
reiz1_l44167	TEST	2	27	145	33	2	30	102	1	1	174	16	l4
reiz1_l44168	TEST	2	17	145	33	2	23	103	1	1	174	16	l4
reiz1_l44169	TEST	2	18	146	34	2	20	104	1	1	173	16	l4
reiz1_l44170	TEST	2	18	146	33	2	44	106	1	1	173	16	l4
reiz1_l44171	TEST	2	12	105	35	1	20	175	1	1	228	16	l4
reiz1_l44172	TEST	2	28	107	38	1	34	176	1	1	230	16	l4
reiz1_l44173	TEST	2	13	147	34	2	38	109	1	1	174	16	l4
reiz1_l44174	TEST	2	46	110	38	1	43	176	1	1	228	16	l4
reiz1_l44175	TEST	2	8	116	43	1	14	178	1	1	226	16	l4
reiz1_l44176	TEST	2	32	113	39	1	36	178	1	1	229	16	l4
reiz1_l44177	TEST	2	37	115	40	1	31	178	1	1	229	16	l4
reiz1_l44178	TEST	2	36	116	39	1	35	180	1	1	232	16	l4
reiz1_l44179	TEST	2	36	118	39	1	32	180	1	1	231	16	l4
reiz1_l44180	TEST	2	28	120	40	1	35	183	1	1	232	16	l4
reiz1_l44181	TEST	2	26	122	40	1	42	185	1	1	232	16	l4
reiz1_l44182	TEST	2	7	122	39	1	14	188	1	1	233	16	l4
reiz1_l44183	TEST	2	18	126	41	1	52	188	1	1	232	16	l4
reiz1_l44184	TEST	2	23	127	42	1	27	188	1	1	236	16	l4
reiz1_l44185	TEST	2	15	130	43	1	54	189	1	1	238	16	l4
reiz1_l44186	TEST	2	23	129	43	1	43	191	1	1	238	16	l4
reiz1_l44187	TEST	1	18	240	32	1	56	193	1	1	129	16	l4
reiz1_l44188	TEST	2	23	134	43	1	69	196	1	1	238	16	l4
reiz1_l44189	TEST	1	16	238	36	1	51	196	1	1	132	16	l4
reiz1_l44190	TEST	1	18	241	35	1	67	198	1	1	132	16	l4
reiz1_l44191	TEST	1	19	242	36	1	62	199	1	1	133	16	l4
reiz1_l44192	TEST	1	24	238	36	1	50	197	1	1	134	16	l4
reiz1_l44193	TEST	1	21	242	36	1	55	199	1	1	133	16	l4
reiz1_l44194	TEST	1	6	246	34	1	71	201	1	1	134	16	l4
reiz1_l44195	TEST	1	6	246	34	1	70	201	1	1	136	16	l4
reiz1_l44196	TEST	1	10	238	38	1	67	200	1	1	136	16	l4
reiz1_l44197	TEST	1	6	246	35	1	62	202	1	1	137	16	l4
reiz1_l44198	TEST	1	19	243	36	1	66	201	1	1	136	16	l4
reiz1_l44199	TEST	1	14	242	37	1	43	201	1	1	137	16	l4
reiz1_l44200	TEST	1	10	245	35	1	54	202	1	1	137	16	l4
reiz1_l44201	TEST	1	21	246	36	1	56	204	1	1	137	16	l4
reiz1_l44202	TEST	1	9	243	36	1	49	200	1	1	138	16	l4
reiz1_l44203	TEST	1	7	243	37	1	58	202	1	1	139	16	l4
reiz1_l44204	TEST	1	13	243	37	1	52	203	1	1	137	16	l4
reiz1_l44205	TEST	1	18	244	37	1	60	204	1	1	138	16	l4
reiz1_l44206	TEST	1	3	242	36	1	52	203	1	1	139	16	l4
reiz1_l44207	TEST	1	12	241	37	1	60	203	1	1	137	16	l4
reiz1_l44208	TEST	1	15	244	37	1	54	204	1	1	138	16	l4
reiz1_l44209	TEST	1	11	243	37	1	62	202	1	1	138	16	l4
reiz1_l44210	TEST	1	12	239	37	1	51	202	1	1	138	16	l4
reiz1_l44211	TEST	1	4	242	38	1	68	202	1	1	137	16	l4
reiz1_l44212	TEST	1	16	246	34	1	38	203	1	1	139	16	l4
reiz1_l44213	TEST	1	17	243	37	1	58	202	1	1	138	16	l4
reiz1_l44214	TEST	1	11	245	35	1	51	203	1	1	139	16	l4
reiz1_l44215	TEST	1	10	244	37	1	53	204	1	1	137	16	l4
reiz1_l44216	TEST	1	13	245	35	1	59	202	1	1	136	16	l4
reiz1_l44217	TEST	1	6	239	37	1	51	202	1	1	139	16	l4
reiz1_l44218	TEST	1	14	245	36	1	60	204	1	1	139	16	l4
reiz1_l44219	TEST	1	7	248	33	1	50	202	1	1	138	16	l4
reiz1_l44220	TEST	1	5	243	37	1	52	203	1	1	141	16	l4
reiz1_l44221	TEST	1	6	243	38	1	52	204	1	1	139	16	l4
reiz1_l44222	TEST	1	6	242	38	1	57	204	1	1	140	16	l4
reiz1_l44223	TEST	1	5	243	38	1	49	204	1	1	140	16	l4
reiz1_l44224	TEST	1	6	242	39	1	48	204	1	1	142	16	l4
reiz1_l44225	TEST	1	3	244	37	1	47	203	1	1	141	16	l4
reiz1_l44226	TEST	1	10	243	36	1	54	204	1	1	140	16	l4
reiz1_l44227	TEST	1	7	241	37	1	52	204	1	1	141	16	l4
reiz1_l44228	TEST	1	7	246	34	1	45	202	1	1	140	16	l4
reiz1_l44229	TEST	1	5	242	36	1	53	204	1	1	140	16	l4
reiz1_l44230	TEST	1	8	246	35	1	42	204	1	1	141	16	l4
reiz1_l44231	TEST	1	5	242	36	1	38	203	1	1	140	16	l4
reiz1_l44232	TEST	1	4	242	37	1	45	204	1	1	140	16	l4
reiz1_l44233	TEST	1	5	247	33	1	45	203	1	1	140	16	l4
reiz1_l44234	TEST	1	1	238	39	1	46	203	1	1	140	16	l4
reiz1_l44235	TEST	1	4	240	38	1	38	202	1	1	139	16	l4
reiz1_l44236	TEST	1	2	239	38	1	39	201	1	1	141	16	l4
reiz1_l44237	TEST	1	1	243	33	1	37	200	1	1	140	16	l4
reiz1_l44238	TEST	1	4	236	37	1	40	199	1	1	137	16	l4
reiz1_l44239	TEST	1	6	234	37	1	42	195	1	1	136	16	l4
reiz1_l44240	TEST	1	4	234	37	1	48	197	1	1	134	16	l4
reiz1_l44241	TEST	1	2	228	38	1	50	194	1	1	134	16	l4
reiz1_l44242	TEST	2	24	135	41	1	46	191	1	1	229	16	l4
reiz1_l44243	TEST	2	23	135	41	1	48	191	1	1	231	16	l4
reiz1_l44244	TEST	2	24	134	42	1	52	189	1	1	230	16	l4
reiz1_l44245	TEST	1	19	229	31	1	48	188	1	1	131	16	l4
reiz1_l44246	TEST	2	34	130	40	1	45	187	1	1	224	16	l4
reiz1_l44247	TEST	2	25	129	40	1	44	185	1	1	225	16	l4
reiz1_l44248	TEST	2	29	129	41	1	50	183	1	1	221	16	l4
reiz1_l44249	TEST	2	35	129	43	1	30	180	1	1	218	16	l4
reiz1_l44250	TEST	2	39	128	42	1	43	180	1	1	217	16	l4
reiz1_l44251	TEST	2	36	127	42	1	34	177	1	1	214	16	l4
reiz1_l44252	TEST	2	30	127	43	1	46	175	1	1	213	16	l4
reiz1_l44253	TEST	2	33	127	43	1	24	176	1	1	211	16	l4
reiz1_l44254	TEST	2	36	124	43	1	38	174	1	1	209	16	l4
reiz1_l44255	TEST	2	29	124	43	1	21	170	1	1	208	16	l4
reiz1_l44256	TEST	2	23	123	43	1	40	171	1	1	211	16	l4
reiz1_l44257	TEST	1	39	207	28	1	26	170	1	1	120	16	l4
reiz1_l44258	TEST	2	22	120	43	1	27	169	1	1	207	16	l4
reiz1_l44259	TEST	2	28	120	43	1	31	167	1	1	207	16	l4
reiz1_l44260	TEST	2	17	149	41	2	34	121	1	1	169	16	l4
reiz1_l44261	TEST	2	26	120	43	1	18	167	1	1	206	16	l4
reiz1_l44262	TEST	2	30	119	43	1	33	166	1	1	207	16	l4
reiz1_l44263	TEST	2	11	118	42	1	32	168	1	1	206	16	l4
reiz1_l44264	TEST	2	9	150	40	2	19	121	1	1	169	16	l4
reiz1_l44265	TEST	2	10	150	41	2	33	122	1	1	171	16	l4
reiz1_l44266	TEST	2	24	123	44	1	33	171	1	1	208	16	l4
reiz1_l44267	TEST	2	44	123	42	1	28	173	1	1	211	16	l4
reiz1_l44268	TEST	2	33	124	43	1	36	174	1	1	212	16	l4
reiz1_l44269	TEST	2	34	126	42	1	39	175	1	1	214	16	l4
reiz1_l44270	TEST	2	16	125	41	1	39	175	1	1	215	16	l4
reiz1_l44271	TEST	2	24	127	41	1	33	180	1	1	218	16	l4
reiz1_l44272	TEST	2	25	130	42	1	40	182	1	1	219	16	l4
reiz1_l44273	TEST	2	24	130	41	1	44	182	1	1	221	16	l4
reiz1_l44274	TEST	2	26	132	40	1	46	185	1	1	224	16	l4
reiz1_l44275	TEST	1	20	228	31	1	40	188	1	1	131	16	l4
reiz1_l44276	TEST	1	24	229	31	1	41	190	1	1	131	16	l4
reiz1_l44277	TEST	1	12	229	35	1	37	191	1	1	132	16	l4
reiz1_l44278	TEST	1	18	233	31	1	38	193	1	1	134	16	l4
reiz1_l44279	TEST	1	10	232	34	1	36	195	1	1	134	16	l4
reiz1_l44280	TEST	1	5	235	33	1	50	196	1	1	136	16	l4
reiz1_l44281	TEST	1	3	235	35	1	40	199	1	1	139	16	l4
reiz1_l44282	TEST	1	6	234	36	1	40	199	1	1	139	16	l4
reiz1_l44283	TEST	1	5	238	34	1	40	199	1	1	139	16	l4
reiz1_l44284	TEST	1	10	240	35	1	43	202	1	1	140	16	l4
reiz1_l44285	TEST	1	11	236	36	1	49	202	1	1	139	16	l4
reiz1_l44286	TEST	1	9	241	33	1	51	202	1	1	140	16	l4
reiz1_l44287	TEST	1	9	238	35	1	48	202	1	1	138	16	l4
reiz1_l44288	TEST	1	12	240	36	1	51	202	1	1	139	16	l4
reiz1_l44289	TEST	1	12	240	36	1	40	201	1	1	141	16	l4
reiz1_l44290	TEST	1	9	240	34	1	42	202	1	1	139	16	l4
reiz1_l44291	TEST	1	4	235	37	1	38	202	1	1	139	16	l4
reiz1_l44292	TEST	1	8	239	35	1	40	203	1	1	139	16	l4
reiz1_l44293	TEST	1	7	240	36	1	43	204	1	1	140	16	l4
reiz1_l44294	TEST	1	9	243	34	1	47	204	1	1	140	16	l4
reiz1_l44295	TEST	1	12	240	36	1	48	204	1	1	140	16	l4
reiz1_l44296	TEST	1	5	236	36	1	37	200	1	1	141	16	l4
reiz1_l44297	TEST	1	13	241	36	1	47	203	1	1	140	16	l4
reiz1_l44298	TEST	1	8	242	34	1	32	204	1	1	140	16	l4
reiz1_l44299	TEST	1	11	238	35	1	40	203	1	1	140	16	l4
reiz1_l44300	TEST	1	9	240	36	1	41	203	1	1	142	16	l4
reiz1_l44301	TEST	1	12	241	35	1	34	202	1	1	141	16	l4
reiz1_l44302	TEST	1	7	240	35	1	39	203	1	1	142	16	l4
reiz1_l44303	TEST	1	6	240	35	1	37	204	1	1	142	16	l4
reiz1_l44304	TEST	1	7	242	34	1	47	204	1	1	140	16	l4
reiz1_l44305	TEST	1	6	242	35	1	35	204	1	1	141	16	l4
reiz1_l44306	TEST	1	8	241	35	1	44	203	1	1	141	16	l4
reiz1_l44307	TEST	1	5	245	33	1	41	204	1	1	141	16	l4
reiz1_l44308	TEST	1	9	240	35	1	50	203	1	1	141	16	l4
reiz1_l44309	TEST	1	7	236	36	1	43	203	1	1	141	16	l4
reiz1_l44310	TEST	1	9	241	35	1	44	203	1	1	142	16	l4
reiz1_l44311	TEST	1	11	241	35	1	31	202	1	1	141	16	l4
reiz1_l44312	TEST	1	9	240	36	1	38	203	1	1	141	16	l4
reiz1_l44313	TEST	1	10	240	36	1	39	203	1	1	140	16	l4
reiz1_l44314	TEST	1	9	241	35	1	31	202	1	1	141	16	l4
reiz1_l44315	TEST	1	4	243	33	1	44	203	1	1	142	16	l4
reiz1_l44316	TEST	1	10	240	36	1	29	202	1	1	141	16	l4
reiz1_l44317	TEST	1	9	243	35	1	30	201	1	1	141	16	l4
reiz1_l44318	TEST	1	7	240	36	1	43	203	1	1	141	16	l4
reiz1_l44319	TEST	1	6	241	35	1	30	203	1	1	142	16	l4
reiz1_l44320	TEST	1	6	242	34	1	46	204	1	1	142	16	l4
reiz1_l44321	TEST	1	4	243	35	1	30	202	1	1	141	16	l4
reiz1_l44322	TEST	1	7	241	35	1	51	203	1	1	142	16	l4
reiz1_l44323	TEST	1	8	240	35	1	47	202	1	1	142	16	l4
reiz1_l44324	TEST	1	10	236	36	1	41	201	1	1	141	16	l4
reiz1_l44325	TEST	1	9	239	35	1	22	201	1	1	141	16	l4
reiz1_l44326	TEST	1	4	238	36	1	38	203	1	1	141	16	l4
reiz1_l44327	TEST	1	5	237	37	1	46	202	1	1	142	16	l4
reiz1_l44328	TEST	1	11	239	35	1	38	200	1	1	141	16	l4
reiz1_l44329	TEST	1	6	238	36	1	40	203	1	1	141	16	l4
reiz1_l44330	TEST	1	10	239	35	1	35	202	1	1	140	16	l4
reiz1_l44331	TEST	1	3	236	38	1	52	202	1	1	141	16	l4
reiz1_l44332	TEST	1	10	238	34	1	42	199	1	1	142	16	l4
reiz1_l44333	TEST	1	9	235	35	1	35	199	1	1	140	16	l4
reiz1_l44334	TEST	1	14	237	33	1	50	198	1	1	139	16	l4
reiz1_l44335	TEST	1	7	236	34	1	51	198	1	1	140	16	l4
reiz1_l44336	TEST	1	7	234	34	1	39	197	1	1	140	16	l4
reiz1_l44337	TEST	1	12	235	33	1	36	196	1	1	137	16	l4
reiz1_l44338	TEST	1	4	238	29	1	41	195	1	1	137	16	l4
reiz1_l44339	TEST	1	11	231	33	1	35	193	1	1	137	16	l4
reiz1_l44340	TEST	1	16	231	32	1	50	192	1	1	135	16	l4
reiz1_l44341	TEST	1	15	230	31	1	43	192	1	1	135	16	l4
reiz1_l44342	TEST	1	11	232	30	1	48	192	1	1	135	16	l4
reiz1_l44343	TEST	1	18	228	30	1	40	189	1	1	134	16	l4
reiz1_l44344	TEST	2	13	135	38	1	49	190	1	1	226	16	l4
